clave,fecha,cierre
BIMBOA.MX,2021-08-09,49.439998626708984
BIMBOA.MX,2021-08-10,49.15999984741211
BIMBOA.MX,2021-08-11,49.689998626708984
BIMBOA.MX,2021-08-12,48.95000076293945
BIMBOA.MX,2021-08-13,48.88999938964844
BIMBOA.MX,2021-08-16,49.630001068115234
BIMBOA.MX,2021-08-17,51.43000030517578
BIMBOA.MX,2021-08-18,50.9900016784668
BIMBOA.MX,2021-08-19,49.810001373291016
BIMBOA.MX,2021-08-20,49.81999969482422
BIMBOA.MX,2021-08-23,49.93000030517578
BIMBOA.MX,2021-08-24,49.29999923706055
BIMBOA.MX,2021-08-25,49.029998779296875
BIMBOA.MX,2021-08-26,49.68000030517578
BIMBOA.MX,2021-08-27,49.70000076293945
BIMBOA.MX,2021-08-30,49.81999969482422
BIMBOA.MX,2021-08-31,50.81999969482422
BIMBOA.MX,2021-09-01,50.650001525878906
BIMBOA.MX,2021-09-02,50.369998931884766
BIMBOA.MX,2021-09-03,49.40999984741211
BIMBOA.MX,2021-09-06,49.970001220703125
BIMBOA.MX,2021-09-07,49.45000076293945
BIMBOA.MX,2021-09-08,49.77000045776367
BIMBOA.MX,2021-09-09,50.08000183105469
BIMBOA.MX,2021-09-10,50.310001373291016
BIMBOA.MX,2021-09-13,51.34000015258789
BIMBOA.MX,2021-09-14,55.29999923706055
BIMBOA.MX,2021-09-15,56
BIMBOA.MX,2021-09-17,56.22999954223633
BIMBOA.MX,2021-09-20,57.90999984741211
BIMBOA.MX,2021-09-21,57.880001068115234
BIMBOA.MX,2021-09-22,58.279998779296875
BIMBOA.MX,2021-09-23,58.310001373291016
BIMBOA.MX,2021-09-24,56.619998931884766
BIMBOA.MX,2021-09-27,56.310001373291016
BIMBOA.MX,2021-09-28,55.31999969482422
BIMBOA.MX,2021-09-29,57.83000183105469
BIMBOA.MX,2021-09-30,58.040000915527344
BIMBOA.MX,2021-10-01,57.29999923706055
BIMBOA.MX,2021-10-04,57.290000915527344
BIMBOA.MX,2021-10-05,57.97999954223633
BIMBOA.MX,2021-10-06,59.34000015258789
BIMBOA.MX,2021-10-07,58.29999923706055
BIMBOA.MX,2021-10-08,58.75
BIMBOA.MX,2021-10-11,57.59000015258789
BIMBOA.MX,2021-10-12,55.540000915527344
BIMBOA.MX,2021-10-13,56.869998931884766
BIMBOA.MX,2021-10-14,57.16999816894531
BIMBOA.MX,2021-10-15,57.880001068115234
BIMBOA.MX,2021-10-18,59.630001068115234
BIMBOA.MX,2021-10-19,57.630001068115234
BIMBOA.MX,2021-10-20,57.880001068115234
BIMBOA.MX,2021-10-21,57.63999938964844
BIMBOA.MX,2021-10-22,56.5099983215332
BIMBOA.MX,2021-10-25,56.619998931884766
BIMBOA.MX,2021-10-26,57.439998626708984
BIMBOA.MX,2021-10-27,57.5099983215332
BIMBOA.MX,2021-10-28,56.279998779296875
BIMBOA.MX,2021-10-29,60.939998626708984
BIMBOA.MX,2021-11-01,62.86000061035156
